Area Code,Area Code (M49),M49 Code,Area,Item Code (FBS),Item Code,Item,Year,target_year,result_type,food_supply_kcal_cap_day,eligible_for_2024_scoring,scoring_exclusion_reason,predicted_shortage_probability,risk_band,predicted_shortage_warning,evidence_review_level,eligible_for_headline_ranking,headline_ranking_exclusion_reason,missing_locked_feature_count,numeric_features_outside_training_range_count,non_year_features_outside_training_range_count,unknown_model_category_count,pair_has_historical_training_support,pair_historical_rows,pair_historical_shortages,pair_historical_shortage_rate,pair_predictor_year_start,pair_predictor_year_end,production_status,recorded_element_count,source_absent_element_count,source_present_missing_element_count,recorded_zero_element_count,recorded_negative_element_count,supply_outcome_recorded_count,supply_outcomes_complete,negative_domestic_supply_flag
45,'174,174,Comoros,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,158.11,True,Eligible for prospective scoring,0.16704603174603164,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,29,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,No production source row,13,5,2,3,0,5,True,False
209,'748,748,Eswatini,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,30.18,True,Eligible for prospective scoring,0.16398427128427134,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,13,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,16,4,0,4,0,5,True,False
215,'834,834,United Republic of Tanzania,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,99.68,True,Eligible for prospective scoring,0.16333063603063605,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,2,2,1,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,18,1,1,1,0,5,True,False
158,'562,562,Niger,'S2517,2517,Millet and products,2023,2024,Model-generated 2024 early-warning estimate,709.93,True,Eligible for prospective scoring,0.16190223665223674,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,4,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,2,1,1,0,5,True,False
251,'894,894,Zambia,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,72.71,True,Eligible for prospective scoring,0.1612453601953602,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,1,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,19,1,0,1,0,5,True,False
137,'480,480,Mauritius,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,26.59,True,Eligible for prospective scoring,0.15904436090225565,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,13,1,0,0,True,13.0,0.0,0.0,2010.0,2022.0,Recorded zero production,17,3,0,7,0,5,True,False
74,'266,266,Gabon,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,143.88,True,Eligible for prospective scoring,0.15850324675324673,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,6,1,0,0,True,13.0,0.0,0.0,2010.0,2022.0,Recorded positive production,18,1,1,4,0,5,True,False
181,'716,716,Zimbabwe,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,247.89,True,Eligible for prospective scoring,0.15382034632034638,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,2,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,Recorded positive production,18,2,0,0,0,5,True,False
90,'324,324,Guinea,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,72.57,True,Eligible for prospective scoring,0.1528498737373738,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,3,0,2,0,5,True,False
175,'624,624,Guinea-Bissau,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,78.37,True,Eligible for prospective scoring,0.15178088023088032,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,10,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,Recorded positive production,18,2,0,6,0,5,True,False
